word
act
administer
articulate
assess
change
chart
choose
collect
compute
construct
contribute
control
demonstrate
determine
develop
discover
dramatize
draw
establish
extend
imitate
inplement
interview
include
inform
instruct
paint
participatre
predict
prepare
produce
provide
relate
report
select
show
solve
transfer
use
utilize
