word
classify
conclude
convert
compare
defend
describe
dicuss
distingush
estimate
explain
express
extend
generalize
give examples
identify
indicate
infer
interpret
illustrate
learn
locate
outline
paraphase
predict
report
recognize
rewrite
review
restate
select
summarize
tell
trace
translate
understand
