word
analyze
appraise
breakdown
calculate
characterize
classify
correlte
categorize
compare
contrast
criticize
debate
deduce
diagram
differentiate
discriminate
distinguish
examine
explain
experiment
focus
identify
illustrate
infer
inspect
investigate
inventory
limit
model
outline
point out
prioritize
question
relate
research
recoginize
select
seperate
subdivide
test
