title,word,start_time,end_time
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",그 중에서 숫자형을 가장 먼저 살펴 보겠습니다.,120,180
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",숫자형은 아까 예시로 봤던 정수형 숫자형이 있고요.,120,180
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","실수형, 기타 지수 표현 방식, 8진수, 16진수, 뭐 이런 진수 표현이 있는데",120,180
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",뭐 사실 이런 거는 거의 쓸 일이 없습니다. 그래서 아마 이거만 쓰실 것 같은데,120,180
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",그래도 책을 처음 배우는 거니까 그냥 이게 뭔지만 알아 보겠습니다.,120,180
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",정수형.,120,180
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",a는 1. 이렇게 되면 a라는 값에 1이라는 숫자형을 넣는다. 이런 의미죠. 프린트...,120,180
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","a를 하게 되면 여기 위에, 이 재생으로 실행할 수 있습니다. 이걸 하게 되면 이제 1이 출력돼서 나오는 걸 확인할 수 있죠.",180,240
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",그러면 여기서 이 자료형이 뭔지가 궁금할 수 있잖아요? 그래서 이 a가 무슨 형인지 궁금하다면 타입...,180,240
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","이라고 쓰고 괄호 열고, 괄호 닫고를 해 주면 a의 타입을 알 수가 있습니다.",180,240
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","a의 타입, 아까 뭐였죠? 숫자형이었죠. 그래서 이걸 재생 눌러서 실행시켜 보면",180,240
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","여기 클래스 인트 하고 나오는데, 인트가 우리가 아까 본 숫자형 중에 정수형을 의미합니다.",180,240
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","이 정수형 있죠. 이게 인트형입니다, 영어로는. 실수형은 뭘까요?",180,240
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","실수형은 뭐 수학을 배우시면 실수라는 말 들어 보셨을 텐데 점 찍힌 것 있죠. 소수점이 나온 거, 이걸 실수라고 합니다.",180,240
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","그래서 1.24, 이거를 타입을 찍어 보면 이제는 플로트라고 나옵니다.",180,240
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",결과가 플로트라고 나왔죠. 실수는 이제 플로트라는 자료형이 뜹니다.,180,240
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","숫자형이긴 한데 인트, 플로트, 이렇게 값이 나뉩니다.",180,240
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",뒤에 거는 사실 거의 쓸 일이 없는데 그래도 한번 찍어 보겠습니다. 4.24...,180,240
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","e의 10. 이렇게 하면, 네, 얘도 플로트형이고 a 값을 찍어 보면 이런 식으로 됐습니다.",240,300
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",0이 엄청 많죠. 이게 왜 그러냐면 계산기 쓰신 분들은 아마 아실 수도 있는데,240,300
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",계산기에 엄청 큰 값을 입력하게 되면 이런 식으로 뜰 때가 있죠.,240,300
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",그래서 여기 e하고 10이라는 건 4.24 곱하기 10의 10승을 한 겁니다.,240,300
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","e의 10 하면, 10의 10승을 여기에 곱한 거고 마이너스 10 하면 반대로",240,300
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",10의 마이너스 10승. 그러니까 소수점을 나타낼 때 이걸 씁니다.,240,300
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","근데 이거는 거의 안 씁니다. 네, 이런 진수 개념이 있고 이렇게 진수를 숫자형으로 표현할 수 있다, 뭐 이런 걸 볼 수 있습니다.",240,300
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",사칙연산. 파이썬은 이제 계산 기능이 되니까 숫자형 자료를 이용해서 사칙연산을 할 수도 있겠죠.,240,300
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","직접 해 보겠습니다. 책에 나온 예제를 보면, 네, a는 3,",240,300
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","b는 4, 이렇게 있죠. 여기 프린트 a 플러스 b를 하면 이렇게 7이 나옵니다.",240,300
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이런 식으로 더하기 할 수 있다. 또 할 수 있는 게 더하기 말고 곱하기도 할 수 있습니다.,240,300
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이게 곱하기가 처음 보시는 분은 잘 모를 수도 있는데 곱하기 하면 수학에서 이렇게 X 보통 생각하죠.,240,300
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",X로 쓰면은 이제 문자로 쓰는 X랑 헷갈릴 수 있어서,300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","컴퓨터에서는 계산 곱하기라는걸 할 때, 별 표시, 요거를 곱하기로 씁니다.",300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",그러면 3x4=12 죠? 그래서 12가 나왔습니다.,300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)","나누기는 슬래시, 이 shift 옆에 있는 이 슬래시 있죠?",300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",요거를 쓰면 나누기가 됩니다.,300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",0.75 해가지고 아까 float형 실수형 자료가 나왔죠?,300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",그래서 이런 소수점까지 표현이 됩니다.,300,360
"파이썬 왕초보 기초 강의 - 파이썬 프로그래밍의 기초, 자료형(1)",이게 아마 다른 언어 배우신 분은,300,360
