word
감정하다
계산하다
구별하다
구분하다
관찰하다
관계되다
검토하다
구성하다
구체화하다
귀납하다
나열하다
논쟁하다
대조하다
도표화하다
묘사하다
비교하다
분류하다
설명하다
실험하다
식별하다
인식하다
알아보다
연구하다
연결하다
예상하다
요약하다
응답하다
질문하다
집중하다
지적하다
제한하다
조사하다
추정하다
추론하다
주목하다
평가하다
확인하다
