word
구별하다
구분하다
결론짓다
검토하다
나타내다
논의하다
묘사하다
말하다
방어하다
보고하다
변환하다
분류하다
번역하다
복습하다
배우다
비교하다
설명하다
식별하다
선택하다
일반화하다
옹호하다
예시하다
예측하다
알아보다
인식하다
의역하다
요약하다
이해하다
의역하다
재진술하다
추정하다
추론하다
표현하다
표시하다
확장하다
해석하다
확인하다
